slide_number,tag,response,type,story,Answer.condition,audio,first,scale,slide_type,workerid,list,trial_num,image,Answer.time_in_minutes
1,,"[0, 'Jennifer']",,,undefined,,,,bot_check,0,,,Jennifer,2.8551333333333333
,evoke,0.19,critical,or/and stealing,undefined,,Deshawn,"{'weak': 'or', 'strong': 'and'}",,0,1,0,,2.8551333333333333
,filler_lowbias,0.53,filler,quadruplets,undefined,,Jack,filler,,0,1,1,,2.8551333333333333
,evoke,0.34,critical,n/n+m crime,undefined,,Peter,"{'weak': 'three', 'strong': 'more than three'}",,0,1,2,,2.8551333333333333
,repress,0.55,critical,n/n+m victims,undefined,,Lamont,"{'weak': 'three', 'strong': 'more than three'}",,0,1,3,,2.8551333333333333
,filler_highbias,0.61,filler,alcohol,undefined,,Dylan,filler,,0,1,4,,2.8551333333333333
,evoke,0.6,critical,looks like/is criminal,undefined,,Logan,"{'weak': 'looks like', 'strong': 'is'}",,0,1,5,,2.8551333333333333
,repress,0.62,critical,possible/certain not violence,undefined,,Trevon,"{'weak': 'possible', 'strong': 'certain'}",,0,1,6,,2.8551333333333333
,exclusion_right,1,exclusion,math2,undefined,,,filler,,0,1,7,,2.8551333333333333
,filler_lowbias,0.56,filler,plane crash,undefined,,Hakeem,filler,,0,1,8,,2.8551333333333333
,exclusion_wrong,0,exclusion,math3,undefined,,,filler,,0,1,9,,2.8551333333333333
,filler_highbias,0.63,filler,dog,undefined,,Connor,filler,,0,1,10,,2.8551333333333333
,exclusion_wrong,0,exclusion,math4,undefined,,,filler,,0,1,11,,2.8551333333333333
,repress,0.67,critical,looks like/is nonviolent,undefined,,Hunter,"{'weak': 'looks like', 'strong': 'is'}",,0,1,12,,2.8551333333333333
,filler_highbias,0.74,filler,sister,undefined,,Deion,filler,,0,1,13,,2.8551333333333333
,filler_lowbias,0.26,filler,lightning,undefined,,Ryan,filler,,0,1,14,,2.8551333333333333
,filler_highbias,0.7,filler,sports,undefined,,Ethan,filler,,0,1,15,,2.8551333333333333
,evoke,0.29,critical,possible/certain jail,undefined,,Rasheed,"{'weak': 'possible', 'strong': 'certain'}",,0,1,16,,2.8551333333333333
,repress,0.64,critical,or/and not violent crime,undefined,,Paul,"{'weak': 'or', 'strong': 'and'}",,0,1,17,,2.8551333333333333
,filler_lowbias,0.72,filler,dentist,undefined,,Marquis,filler,,0,1,18,,2.8551333333333333
,repress,0.59,critical,some/all police,undefined,,Jamal,"{'weak': 'some', 'strong': 'all'}",,0,1,19,,2.8551333333333333
,evoke,0.35,critical,some/all criminal,undefined,,Cody,"{'weak': 'some', 'strong': 'all'}",,0,1,20,,2.8551333333333333
,filler_lowbias,0.22,filler,lottery,undefined,,Lamar,filler,,0,1,21,,2.8551333333333333
,filler_highbias,0.69,filler,movies,undefined,,Deandre,filler,,0,1,22,,2.8551333333333333
,exclusion_right,1,exclusion,math1,undefined,,,filler,,0,1,23,,2.8551333333333333
1,,"[0, 'Barbara']",,,undefined,,,,bot_check,1,,,Barbara,3.426266666666667
,filler_highbias,0.94,filler,sports,undefined,,Brett,filler,,1,1,0,,3.426266666666667
,evoke,0.64,critical,possible/certain jail,undefined,,Rasheed,"{'weak': 'possible', 'strong': 'certain'}",,1,1,1,,3.426266666666667
,filler_highbias,0.71,filler,dog,undefined,,Hakeem,filler,,1,1,2,,3.426266666666667
,exclusion_right,1,exclusion,math2,undefined,,,filler,,1,1,3,,3.426266666666667
,repress,0.17,critical,n/n+m victims,undefined,,Jack,"{'weak': 'three', 'strong': 'more than three'}",,1,1,4,,3.426266666666667
,filler_lowbias,0.03,filler,quadruplets,undefined,,Paul,filler,,1,1,5,,3.426266666666667
,repress,0.84,critical,or/and not violent crime,undefined,,Hunter,"{'weak': 'or', 'strong': 'and'}",,1,1,6,,3.426266666666667
,filler_highbias,0.73,filler,sister,undefined,,Kareem,filler,,1,1,7,,3.426266666666667
,filler_lowbias,0,filler,plane crash,undefined,,Deshawn,filler,,1,1,8,,3.426266666666667
,repress,0,critical,some/all police,undefined,,Deandre,"{'weak': 'some', 'strong': 'all'}",,1,1,9,,3.426266666666667
,repress,0.95,critical,possible/certain not violence,undefined,,Logan,"{'weak': 'possible', 'strong': 'certain'}",,1,1,10,,3.426266666666667
,filler_lowbias,0.03,filler,lightning,undefined,,Tyrone,filler,,1,1,11,,3.426266666666667
,evoke,0.79,critical,looks like/is criminal,undefined,,Deion,"{'weak': 'looks like', 'strong': 'is'}",,1,1,12,,3.426266666666667
,filler_highbias,1,filler,alcohol,undefined,,Brad,filler,,1,1,13,,3.426266666666667
,filler_lowbias,0,filler,lottery,undefined,,Jamal,filler,,1,1,14,,3.426266666666667
,exclusion_right,1,exclusion,math1,undefined,,,filler,,1,1,15,,3.426266666666667
,evoke,0.03,critical,or/and stealing,undefined,,Connor,"{'weak': 'or', 'strong': 'and'}",,1,1,16,,3.426266666666667
,evoke,0.22,critical,n/n+m crime,undefined,,Peter,"{'weak': 'three', 'strong': 'more than three'}",,1,1,17,,3.426266666666667
,exclusion_wrong,0,exclusion,math3,undefined,,,filler,,1,1,18,,3.426266666666667
,exclusion_wrong,0,exclusion,math4,undefined,,,filler,,1,1,19,,3.426266666666667
,repress,0.93,critical,looks like/is nonviolent,undefined,,Marquis,"{'weak': 'looks like', 'strong': 'is'}",,1,1,20,,3.426266666666667
,filler_lowbias,0,filler,dentist,undefined,,Dylan,filler,,1,1,21,,3.426266666666667
,filler_highbias,1,filler,movies,undefined,,Tyree,filler,,1,1,22,,3.426266666666667
,evoke,0,critical,some/all criminal,undefined,,Ethan,"{'weak': 'some', 'strong': 'all'}",,1,1,23,,3.426266666666667
1,,"[0, 'Patricia']",,,undefined,,,,bot_check,2,,,Patricia,3.2196
,evoke,0.53,critical,some/all criminal,undefined,,Dylan,"{'weak': 'some', 'strong': 'all'}",,2,1,0,,3.2196
,evoke,0.5,critical,looks like/is criminal,undefined,,Lamar,"{'weak': 'looks like', 'strong': 'is'}",,2,1,1,,3.2196
,exclusion_wrong,0,exclusion,math3,undefined,,,filler,,2,1,2,,3.2196
,exclusion_right,1,exclusion,math2,undefined,,,filler,,2,1,3,,3.2196
,filler_lowbias,0.27,filler,quadruplets,undefined,,Paul,filler,,2,1,4,,3.2196
,filler_highbias,0.5,filler,sister,undefined,,Rasheed,filler,,2,1,5,,3.2196
,exclusion_right,1,exclusion,math1,undefined,,,filler,,2,1,6,,3.2196
,filler_highbias,0.87,filler,movies,undefined,,Brad,filler,,2,1,7,,3.2196
,evoke,0.49,critical,n/n+m crime,undefined,,Tyree,"{'weak': 'three', 'strong': 'more than three'}",,2,1,8,,3.2196
,filler_lowbias,0.05,filler,plane crash,undefined,,Logan,filler,,2,1,9,,3.2196
,evoke,0.4,critical,or/and stealing,undefined,,Jamal,"{'weak': 'or', 'strong': 'and'}",,2,1,10,,3.2196
,filler_highbias,0.93,filler,alcohol,undefined,,Dustin,filler,,2,1,11,,3.2196
,filler_lowbias,0.11,filler,lottery,undefined,,Ryan,filler,,2,1,12,,3.2196
,repress,0.5,critical,some/all police,undefined,,Lamont,"{'weak': 'some', 'strong': 'all'}",,2,1,13,,3.2196
,evoke,0.53,critical,possible/certain jail,undefined,,Jack,"{'weak': 'possible', 'strong': 'certain'}",,2,1,14,,3.2196
,repress,0.5,critical,or/and not violent crime,undefined,,Hakeem,"{'weak': 'or', 'strong': 'and'}",,2,1,15,,3.2196
,repress,0.95,critical,looks like/is nonviolent,undefined,,Brett,"{'weak': 'looks like', 'strong': 'is'}",,2,1,16,,3.2196
,exclusion_wrong,0,exclusion,math4,undefined,,,filler,,2,1,17,,3.2196
,filler_lowbias,0.47,filler,dentist,undefined,,Tyrone,filler,,2,1,18,,3.2196
,repress,0.93,critical,possible/certain not violence,undefined,,Marquis,"{'weak': 'possible', 'strong': 'certain'}",,2,1,19,,3.2196
,filler_highbias,0.87,filler,sports,undefined,,Ethan,filler,,2,1,20,,3.2196
,filler_highbias,0.92,filler,dog,undefined,,Connor,filler,,2,1,21,,3.2196
,filler_lowbias,0.11,filler,lightning,undefined,,Kareem,filler,,2,1,22,,3.2196
,repress,0.49,critical,n/n+m victims,undefined,,Trevon,"{'weak': 'three', 'strong': 'more than three'}",,2,1,23,,3.2196
1,,"[0, 'Elizabeth']",,,undefined,,,,bot_check,3,,,Elizabeth,3.3851833333333334
,filler_lowbias,0.13,filler,lightning,undefined,,Dylan,filler,,3,1,0,,3.3851833333333334
,exclusion_right,0.99,exclusion,math1,undefined,,,filler,,3,1,1,,3.3851833333333334
,filler_highbias,0.97,filler,sports,undefined,,Trevon,filler,,3,1,2,,3.3851833333333334
,exclusion_wrong,0.01,exclusion,math3,undefined,,,filler,,3,1,3,,3.3851833333333334
,repress,0.92,critical,possible/certain not violence,undefined,,Ian,"{'weak': 'possible', 'strong': 'certain'}",,3,1,4,,3.3851833333333334
,repress,0.37,critical,some/all police,undefined,,Connor,"{'weak': 'some', 'strong': 'all'}",,3,1,5,,3.3851833333333334
,filler_lowbias,0.26,filler,plane crash,undefined,,Ethan,filler,,3,1,6,,3.3851833333333334
,exclusion_right,0.99,exclusion,math2,undefined,,,filler,,3,1,7,,3.3851833333333334
,filler_highbias,0.65,filler,sister,undefined,,Hakeem,filler,,3,1,8,,3.3851833333333334
,repress,0.33,critical,n/n+m victims,undefined,,Dustin,"{'weak': 'three', 'strong': 'more than three'}",,3,1,9,,3.3851833333333334
,evoke,0.64,critical,possible/certain jail,undefined,,Paul,"{'weak': 'possible', 'strong': 'certain'}",,3,1,10,,3.3851833333333334
,evoke,0.63,critical,looks like/is criminal,undefined,,Jamal,"{'weak': 'looks like', 'strong': 'is'}",,3,1,11,,3.3851833333333334
,evoke,0.49,critical,some/all criminal,undefined,,Deshawn,"{'weak': 'some', 'strong': 'all'}",,3,1,12,,3.3851833333333334
,exclusion_wrong,0.02,exclusion,math4,undefined,,,filler,,3,1,13,,3.3851833333333334
,filler_highbias,0.66,filler,movies,undefined,,Jack,filler,,3,1,14,,3.3851833333333334
,repress,0.67,critical,or/and not violent crime,undefined,,Rasheed,"{'weak': 'or', 'strong': 'and'}",,3,1,15,,3.3851833333333334
,filler_lowbias,0.21,filler,lottery,undefined,,Marquis,filler,,3,1,16,,3.3851833333333334
,filler_lowbias,0.34,filler,quadruplets,undefined,,Roger,filler,,3,1,17,,3.3851833333333334
,filler_highbias,0.6,filler,dog,undefined,,Tremayne,filler,,3,1,18,,3.3851833333333334
,filler_highbias,0.53,filler,alcohol,undefined,,Lamar,filler,,3,1,19,,3.3851833333333334
,filler_lowbias,0.09,filler,dentist,undefined,,Deandre,filler,,3,1,20,,3.3851833333333334
,evoke,0.31,critical,or/and stealing,undefined,,Tyree,"{'weak': 'or', 'strong': 'and'}",,3,1,21,,3.3851833333333334
,evoke,0.37,critical,n/n+m crime,undefined,,Ryan,"{'weak': 'three', 'strong': 'more than three'}",,3,1,22,,3.3851833333333334
,repress,0.6,critical,looks like/is nonviolent,undefined,,Brett,"{'weak': 'looks like', 'strong': 'is'}",,3,1,23,,3.3851833333333334
1,,"[0, 'Margaret']",,,undefined,,,,bot_check,4,,,Margaret,4.857633333333333
,repress,0.67,critical,or/and not stealing,undefined,,Kareem,"{'weak': 'or', 'strong': 'and'}",,4,3,0,,4.857633333333333
,repress,0.53,critical,possible/certain police,undefined,,Jermaine,"{'weak': 'possible', 'strong': 'certain'}",,4,3,1,,4.857633333333333
,exclusion_right,1,exclusion,math2,undefined,,,filler,,4,3,2,,4.857633333333333
,repress,0.65,critical,looks like/is police,undefined,,Tyrone,"{'weak': 'looks like', 'strong': 'is'}",,4,3,3,,4.857633333333333
,filler_lowbias,0.19,filler,dentist,undefined,,Lamont,filler,,4,3,4,,4.857633333333333
,filler_lowbias,0.26,filler,lottery,undefined,,Jamal,filler,,4,3,5,,4.857633333333333
,evoke,0.59,critical,possible/certain mugged,undefined,,Deion,"{'weak': 'possible', 'strong': 'certain'}",,4,3,6,,4.857633333333333
,filler_highbias,0.76,filler,alcohol,undefined,,Ryan,filler,,4,3,7,,4.857633333333333
,evoke,0.57,critical,looks like/is dangerous,undefined,,Roger,"{'weak': 'looks like', 'strong': 'is'}",,4,3,8,,4.857633333333333
